رمز المادة,اسم المادة,اسم المستودع,المجموعة,الواحدة 1,الواحدة 2,الر مز الوارد,الإسم الوارد,سعر الشراء
RAWM000037,خشب ام دي اف 6 مم,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,,,20
RAWM000038,خشب إم دي إف عادي 6مم×122×244سم,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,2041,,19.05
RAWM000039,ابلكاج صبة اندونيسي 12 مم×122×244 سم,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,2019,,125
SPER000166,زوايا 50 مم * 50 مم * 3 مم * 6 متر,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,40
SPER000167,أداة حفر كوبالت 12 مل,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICC000124,COBALT DWESSER 10 MM,35
SPER000168,برغي حديد مكلفن 20×8,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000628,,0.25
SPER000169,BU,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,3998,,8
SPER000170,مسمار دباسة مقاس 15,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,F15,,12
SPER000171,مسمار دباسة مقاس 20,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,F20,,12
SPER000172,خرطوم شفاف 0.75 بوصة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,متر,,ICH000200,,5
SPER000173,توصيلة لي صيني 0.75 بوصة ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICH000234,,6
SPER000174,مشابك خرطوم مسكة قوية 25 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICH000190,,2.5
